"trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","exp_id","event","view_history","rt","block_number","trial_number","run_number","task","stimulus","response","filename","category","animacy","index","mouse_tracking_data","mouse_tracking_targets","answer","targets","screen_width","screen_height","button_left","button_bottom"
"pavlovia","0","433","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","441","0.0-1.0","true","false","[]","[]","[]","mouse_tracker_socialcog","preload","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","4942","0.0-2.0","true","","","","","","fullscreen","","","","","","","","","","","","","","","","","","","",""
"instructions","3","8531","0.0-3.0-0.0","","","","","","","run_instructions","[{""page_index"":0,""viewing_time"":3588}]","3588","1","0","1","people","","","","","","","","","","","","","",""
"html-button-response","4","11391","0.0-3.0-1.0-0.0","","","","","","","trial_start","","2860","1","0","1","people","<div style=""font-size:9px""></div>","0","","","","","","","","","","","",""
"html-keyboard-response","5","11699","0.0-3.0-1.0-1.0","","","","","","","jitter","","null","","","","","","null","","","","","","","","","","","",""
"image-button-response","6","12705","0.0-3.0-1.0-2.0","","","","","","","main_trial","","null","1","0","1","people","./stimuli/wedding_ambiguous_nointeraction.jpg","null","./stimuli/wedding_ambiguous_nointeraction.jpg","","","","[]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"html-button-response","7","14717","0.0-3.0-1.0-0.1","","","","","","","trial_start","","2011","1","1","1","people","<div style=""font-size:9px""></div>","0","","","","","","","","","","","",""
"html-keyboard-response","8","14949","0.0-3.0-1.0-1.1","","","","","","","jitter","","null","","","","","","null","","","","","","","","","","","",""
"image-button-response","9","15951","0.0-3.0-1.0-2.1","","","","","","","main_trial","","null","1","1","1","people","./stimuli/war_negative_interaction.jpg","null","./stimuli/war_negative_interaction.jpg","","","","[{""x"":969,""y"":788,""t"":519,""event"":""mousemove""},{""x"":913,""y"":764,""t"":530,""event"":""mousemove""},{""x"":797,""y"":722,""t"":547,""event"":""mousemove""},{""x"":726,""y"":672,""t"":563,""event"":""mousemove""},{""x"":618,""y"":610,""t"":580,""event"":""mousemove""},{""x"":502,""y"":513,""t"":597,""event"":""mousemove""},{""x"":437,""y"":442,""t"":613,""event"":""mousemove""},{""x"":411,""y"":414,""t"":630,""event"":""mousemove""},{""x"":381,""y"":367,""t"":647,""event"":""mousemove""},{""x"":367,""y"":348,""t"":663,""event"":""mousemove""},{""x"":358,""y"":339,""t"":680,""event"":""mousemove""},{""x"":348,""y"":331,""t"":697,""event"":""mousemove""},{""x"":343,""y"":326,""t"":713,""event"":""mousemove""},{""x"":338,""y"":322,""t"":730,""event"":""mousemove""},{""x"":336,""y"":319,""t"":747,""event"":""mousemove""},{""x"":334,""y"":314,""t"":763,""event"":""mousemove""},{""x"":333,""y"":313,""t"":781,""event"":""mousemove""},{""x"":331,""y"":311,""t"":797,""event"":""mousemove""},{""x"":329,""y"":309,""t"":814,""event"":""mousemove""},{""x"":329,""y"":308,""t"":830,""event"":""mousemove""},{""x"":329,""y"":307,""t"":849,""event"":""mousemove""},{""x"":328,""y"":307,""t"":864,""event"":""mousemove""},{""x"":328,""y"":306,""t"":881,""event"":""mousemove""},{""x"":327,""y"":306,""t"":898,""event"":""mousemove""},{""x"":328,""y"":305,""t"":956,""event"":""mousemove""},{""x"":337,""y"":305,""t"":964,""event"":""mousemove""},{""x"":361,""y"":305,""t"":980,""event"":""mousemove""},{""x"":388,""y"":306,""t"":998,""event"":""mousemove""}]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"instructions","10","19323","0.0-3.0-1.0-3.1-0.1","","","","","","","break","[{""page_index"":0,""viewing_time"":3371}]","3371","2","2","1","people","","","","","","","","","","","","","",""
"html-button-response","11","21098","0.0-3.0-1.0-0.2","","","","","","","trial_start","","1775","2","2","1","people","<div style=""font-size:9px""></div>","0","","","","","","","","","","","",""
"html-keyboard-response","12","21235","0.0-3.0-1.0-1.2","","","","","","","jitter","","null","","","","","","null","","","","","","","","","","","",""
"image-button-response","13","22237","0.0-3.0-1.0-2.2","","","","","","","main_trial","","null","2","2","1","people","./stimuli/hospital_positive_interaction.jpg","null","./stimuli/hospital_positive_interaction.jpg","","","","[]","{}","","[""negative"",""positive""]","1920","1080","945","810"
"instructions","14","24658","0.0-3.0-1.0-4.2-0.2","","","","","","","last_break","[{""page_index"":0,""viewing_time"":2421}]","2421","3","3","1","people","","","","","","","","","","","","","",""
"instructions","15","25611","0.0-3.0-0.1","","","","","","","run_instructions","[{""page_index"":0,""viewing_time"":953}]","953","3","0","2","global","","","","","","","","","","","","","",""
"html-button-response","16","28685","0.0-3.0-1.1-0.3","","","","","","","trial_start","","3073","3","0","2","global","<div style=""font-size:9px""></div>","0","","","","","","","","","","","",""
"html-keyboard-response","17","28962","0.0-3.0-1.1-1.3","","","","","","","jitter","","null","","","","","","null","","","","","","","","","","","",""
"image-button-response","18","29967","0.0-3.0-1.1-2.3","","","","","","","main_trial","","null","3","0","2","global","./stimuli/wedding_ambiguous_nointeraction.jpg","null","./stimuli/wedding_ambiguous_nointeraction.jpg","","","","[{""x"":994,""y"":783,""t"":877,""event"":""mousemove""},{""x"":1028,""y"":747,""t"":884,""event"":""mousemove""},{""x"":1126,""y"":679,""t"":899,""event"":""mousemove""},{""x"":1252,""y"":570,""t"":916,""event"":""mousemove""},{""x"":1321,""y"":519,""t"":933,""event"":""mousemove""},{""x"":1437,""y"":438,""t"":949,""event"":""mousemove""},{""x"":1492,""y"":400,""t"":966,""event"":""mousemove""},{""x"":1535,""y"":358,""t"":983,""event"":""mousemove""},{""x"":1581,""y"":325,""t"":999,""event"":""mousemove""}]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"html-button-response","19","31516","0.0-3.0-1.1-0.4","","","","","","","trial_start","","1549","3","1","2","global","<div style=""font-size:9px""></div>","0","","","","","","","","","","","",""
"html-keyboard-response","20","31542","0.0-3.0-1.1-1.4","","","","","","","jitter","","null","","","","","","null","","","","","","","","","","","",""
"image-button-response","21","32544","0.0-3.0-1.1-2.4","","","","","","","main_trial","","null","3","1","2","global","./stimuli/war_negative_interaction.jpg","null","./stimuli/war_negative_interaction.jpg","","","","[{""x"":964,""y"":795,""t"":498,""event"":""mousemove""},{""x"":934,""y"":781,""t"":505,""event"":""mousemove""},{""x"":895,""y"":757,""t"":522,""event"":""mousemove""},{""x"":824,""y"":705,""t"":540,""event"":""mousemove""},{""x"":772,""y"":650,""t"":556,""event"":""mousemove""},{""x"":741,""y"":627,""t"":572,""event"":""mousemove""},{""x"":725,""y"":616,""t"":589,""event"":""mousemove""},{""x"":717,""y"":610,""t"":605,""event"":""mousemove""},{""x"":716,""y"":609,""t"":622,""event"":""mousemove""},{""x"":713,""y"":608,""t"":640,""event"":""mousemove""},{""x"":712,""y"":608,""t"":656,""event"":""mousemove""},{""x"":711,""y"":607,""t"":672,""event"":""mousemove""},{""x"":710,""y"":606,""t"":723,""event"":""mousemove""},{""x"":713,""y"":602,""t"":739,""event"":""mousemove""},{""x"":752,""y"":590,""t"":755,""event"":""mousemove""},{""x"":775,""y"":584,""t"":772,""event"":""mousemove""},{""x"":837,""y"":564,""t"":789,""event"":""mousemove""},{""x"":945,""y"":528,""t"":807,""event"":""mousemove""},{""x"":984,""y"":509,""t"":822,""event"":""mousemove""},{""x"":1084,""y"":460,""t"":839,""event"":""mousemove""},{""x"":1220,""y"":406,""t"":856,""event"":""mousemove""},{""x"":1314,""y"":359,""t"":872,""event"":""mousemove""},{""x"":1409,""y"":314,""t"":889,""event"":""mousemove""},{""x"":1442,""y"":298,""t"":906,""event"":""mousemove""},{""x"":1477,""y"":278,""t"":923,""event"":""mousemove""},{""x"":1494,""y"":268,""t"":940,""event"":""mousemove""},{""x"":1500,""y"":262,""t"":956,""event"":""mousemove""},{""x"":1505,""y"":260,""t"":973,""event"":""mousemove""},{""x"":1506,""y"":258,""t"":989,""event"":""mousemove""}]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"instructions","22","33950","0.0-3.0-1.1-3.4-0.4","","","","","","","break","[{""page_index"":0,""viewing_time"":1407}]","1407","4","2","2","global","","","","","","","","","","","","","",""
